step,time,n_particles,max_u,min_sigma,min_sigma_ratio,max_gamma_over_sigma2,wall_s,max_dtZ
103,0.03179012345679012,92841,18.85338112172462,0.0010158492986259463,0.42796968700434956,745.0626438603131,52.050321102142334,0.07277058033947771
104,0.03209876543209877,93843,17.402508972525958,0.0010232239365877073,0.4310765666414515,763.9689406086887,44.86419987678528,0.09069459982050215
105,0.032407407407407406,94828,19.10817184550577,0.0010129890140681576,0.426764670582528,816.2875919673912,42.40408515930176,0.08093724115446868
106,0.03271604938271605,95820,23.821229805148935,0.0009842695470680524,0.41466537463420977,852.0060346706978,35.966890811920166,0.07026266558518422
107,0.03302469135802469,96819,21.47154954704445,0.0009521787908054312,0.40114577981633326,872.2185804449043,34.9609260559082,0.09928474732631437
108,0.03333333333333333,97817,21.311200659391773,0.0009332664586802164,0.3931781562021826,874.7340297092896,37.18142604827881,0.06323914556478803
109,0.03364197530864198,98818,23.93631050136829,0.0009142244648651678,0.3851559070910318,860.7701205627409,37.76607608795166,0.07998189008494762
110,0.033950617283950615,99828,27.963342213331025,0.000906435383589261,0.38187442559548895,825.3348342380323,28.992389917373657,0.08197090078407702
111,0.03425925925925926,100838,24.228826704410356,0.0009136551077918157,0.38491604122824513,853.1873491915429,55.01772904396057,0.06980217423122828
112,0.0345679012345679,101838,27.018912504423795,0.0009300385563603157,0.3918182651756326,906.3704971372216,43.81496000289917,0.05683010093582842
113,0.03487654320987654,102842,23.457124048062493,0.0009495661007378915,0.40004507309540843,970.4291879329958,45.156139850616455,0.054637876470430446
114,0.03518518518518519,103862,20.753900992197735,0.0009372125722548129,0.3948406242411801,1034.6075121112226,47.096275091171265,0.05660646359737143
115,0.035493827160493825,104878,25.96909326374804,0.0009154950673667397,0.3856912023908762,1072.499115330204,48.49954605102539,0.09476796162816632
116,0.03580246913580247,105907,22.97787924019849,0.0009215426403027997,0.3882389994903893,1047.2281845352152,48.29906702041626,0.07730547239031536
117,0.03611111111111111,106924,22.69170709137093,0.0009335617576818069,0.3933025634557529,921.7516051442724,48.60622787475586,0.08054252604229174
118,0.03641975308641975,107940,21.875759672718523,0.0009380760215588232,0.3952043889539985,741.4802769313009,64.3523621559143,0.0902995059358737
119,0.0367283950617284,108964,23.315868978974436,0.0009211581936721344,0.3880770350096161,738.0068932074906,61.7824969291687,0.07264902043931584
120,0.037037037037037035,109983,19.20267839103673,0.000901803795144696,0.37992317213728943,756.162021417586,61.60678505897522,0.11492255744573916
121,0.03734567901234568,110997,20.3815244954403,0.0008896473211472959,0.37480174085926327,1009.2343013428134,49.69911003112793,0.09940024251747104
122,0.037654320987654324,112018,21.419876919341736,0.000873690317866265,0.36807917511162,1152.0294112497286,51.456764936447144,0.08247456460079176
123,0.03796296296296296,113043,20.5677208310468,0.0008531180262906665,0.35941222303666176,1273.889866832197,61.333762884140015,0.07281823719869285
124,0.03827160493827161,114059,20.66751984575759,0.0008316894617965266,0.3503845296062345,1338.381596477433,42.46013808250427,0.0910391181625948
125,0.038580246913580245,115083,22.133150616426214,0.0008119811090675911,0.3420815484847408,1357.052257318399,63.87915301322937,0.08465120572391853
