cos_theta,P_num,P_exact,rel_err,is_cap
-4.804282e-01,-5.936336e-01,-5.741106e-01,1.761801e-02,0
-4.161558e-01,-5.430762e-01,-5.321272e-01,9.880619e-03,0
-4.453280e-01,-5.699284e-01,-5.515356e-01,1.659812e-02,0
-3.798120e-01,-5.182747e-01,-5.071271e-01,1.005985e-02,0
-3.931141e-01,-5.330349e-01,-5.163829e-01,1.502720e-02,0
-3.288723e-01,-4.820661e-01,-4.705550e-01,1.038786e-02,0
-3.257930e-01,-4.826567e-01,-4.682870e-01,1.296760e-02,0
-2.652942e-01,-4.341685e-01,-4.224007e-01,1.061958e-02,0
-2.459519e-01,-4.188368e-01,-4.071982e-01,1.050289e-02,0
-1.915209e-01,-3.746259e-01,-3.630335e-01,1.046134e-02,0
-1.566591e-01,-3.422446e-01,-3.336744e-01,7.733912e-03,0
-1.103876e-01,-3.040796e-01,-2.934134e-01,9.625472e-03,0
-6.134584e-02,-2.544215e-01,-2.491313e-01,4.774043e-03,0
-2.501224e-02,-2.239941e-01,-2.152553e-01,7.886137e-03,0
3.632485e-02,-1.579353e-01,-1.560030e-01,1.743724e-03,0
6.132438e-02,-1.367912e-01,-1.311096e-01,5.127234e-03,0
1.325996e-01,-5.640400e-02,-5.777271e-02,1.235159e-03,0
1.453043e-01,-4.585626e-02,-4.433289e-02,1.374732e-03,0
2.237786e-01,4.562921e-02,4.114707e-02,4.044800e-03,0
2.237003e-01,4.459696e-02,4.105966e-02,3.192148e-03,0
3.063580e-01,1.429683e-01,1.356807e-01,6.576497e-03,0
2.934996e-01,1.297976e-01,1.206521e-01,8.253145e-03,0
3.771641e-01,2.301581e-01,2.204787e-01,8.734950e-03,0
3.520199e-01,2.047984e-01,1.899702e-01,1.338131e-02,0
4.334761e-01,3.019552e-01,2.903846e-01,1.044161e-02,0
3.970123e-01,2.649202e-01,2.448689e-01,1.809479e-02,0
4.731298e-01,3.538172e-01,3.409219e-01,1.163704e-02,0
4.267477e-01,3.062057e-01,2.819170e-01,2.191873e-02,0
4.946014e-01,3.823492e-01,3.687390e-01,1.228225e-02,0
4.400834e-01,3.258218e-01,2.987301e-01,2.444819e-02,0
6.561306e-01,6.086516e-01,5.881886e-01,1.846633e-02,0
6.014742e-01,5.480729e-01,5.119213e-01,3.262413e-02,0
6.344964e-01,5.771205e-01,5.577542e-01,1.747660e-02,0
5.738046e-01,5.098166e-01,4.740960e-01,3.223519e-02,0
5.884789e-01,5.116836e-01,4.940905e-01,1.587646e-02,0
5.240840e-01,4.406716e-01,4.074520e-01,2.997820e-02,0
5.198465e-01,4.170570e-01,4.018509e-01,1.372230e-02,0
4.542231e-01,3.455237e-01,3.166908e-01,2.601949e-02,0
4.312366e-01,2.998267e-01,2.875628e-01,1.106725e-02,0
3.669067e-01,2.309021e-01,2.079804e-01,2.068514e-02,0
3.260546e-01,1.677474e-01,1.589227e-01,7.963624e-03,0
2.654903e-01,1.042911e-01,8.830968e-02,1.442204e-02,0
2.083425e-01,2.894931e-02,2.399766e-02,4.468496e-03,0
1.538712e-01,-2.662638e-02,-3.520752e-02,7.743832e-03,0
8.262390e-02,-1.088394e-01,-1.095607e-01,6.509648e-04,0
3.633899e-02,-1.546930e-01,-1.559891e-01,1.169662e-03,0
-4.626989e-02,-2.389537e-01,-2.351855e-01,3.400565e-03,0
-8.258975e-02,-2.738755e-01,-2.685168e-01,4.835767e-03,0
-1.733856e-01,-3.562569e-01,-3.478652e-01,7.572909e-03,0
-1.983446e-01,-3.796662e-01,-3.686821e-01,9.912321e-03,0
-2.938381e-01,-4.573584e-01,-4.443645e-01,1.172598e-02,0
-3.064772e-01,-4.692449e-01,-4.539106e-01,1.383797e-02,0
-4.029986e-01,-5.405739e-01,-5.231818e-01,1.569508e-02,0
-4.028320e-01,-5.413977e-01,-5.230678e-01,1.654144e-02,0
-4.966721e-01,-6.056554e-01,-5.842708e-01,1.929803e-02,0
-4.837063e-01,-5.962247e-01,-5.761756e-01,1.809279e-02,0
-5.712588e-01,-6.533514e-01,-6.285885e-01,2.234665e-02,0
-5.459920e-01,-6.346983e-01,-6.140048e-01,1.867430e-02,0
-6.238923e-01,-6.848832e-01,-6.575551e-01,2.466158e-02,0
-5.872955e-01,-6.581572e-01,-6.376164e-01,1.853657e-02,0
-6.525500e-01,-7.014336e-01,-6.725241e-01,2.608864e-02,0
-6.060295e-01,-6.678264e-01,-6.479384e-01,1.794741e-02,0
-6.561306e-01,-7.037362e-01,-6.743546e-01,2.651470e-02,0
-6.014742e-01,-6.644457e-01,-6.454508e-01,1.714151e-02,0
-6.344964e-01,-6.918392e-01,-6.631600e-01,2.588087e-02,0
-5.738046e-01,-6.480729e-01,-6.300335e-01,1.627919e-02,0
-5.884789e-01,-6.650825e-01,-6.382756e-01,2.419124e-02,0
