step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
242,0.07469136,5.352268e-01,4.330550e+01,-
243,0.07500000,5.282389e-01,4.582450e+01,-
244,0.07530864,5.200007e-01,4.893239e+01,-
245,0.07561728,5.104268e-01,5.279117e+01,-
246,0.07592593,4.998086e-01,5.747097e+01,-
247,0.07623457,4.887955e-01,6.287868e+01,-
248,0.07654321,4.780275e-01,6.882183e+01,-
249,0.07685185,4.680910e-01,7.495767e+01,-
250,0.07716049,4.594319e-01,8.087297e+01,-
251,0.07746914,4.524938e-01,8.599248e+01,-
252,0.07777778,4.480689e-01,8.946090e+01,-
253,0.07808642,4.471731e-01,9.033986e+01,-
254,0.07839506,4.438499e-01,9.267249e+01,-
255,0.07870370,4.341854e-01,1.015472e+02,-
256,0.07901235,4.243487e-01,1.116698e+02,-
257,0.07932099,4.144623e-01,1.231218e+02,-
258,0.07962963,4.047558e-01,1.358203e+02,-
259,0.07993827,3.955267e-01,1.494817e+02,-
260,0.08024691,3.869467e-01,1.638015e+02,-
261,0.08055556,3.796712e-01,1.775587e+02,-
262,0.08086420,3.741475e-01,1.894033e+02,-
263,0.08117284,3.705672e-01,1.982524e+02,-
264,0.08148148,3.689965e-01,2.032586e+02,-
265,0.08179012,3.690300e-01,2.048146e+02,-
266,0.08209877,3.703623e-01,2.034009e+02,-
267,0.08240741,3.727471e-01,1.995640e+02,-
268,0.08271605,3.755147e-01,1.948147e+02,-
269,0.08302469,3.772550e-01,1.922191e+02,-
270,0.08333333,3.776755e-01,1.923251e+02,-
271,0.08364198,3.775319e-01,1.935788e+02,-
272,0.08395062,3.780289e-01,1.935463e+02,-
273,0.08425926,3.814127e-01,1.880319e+02,-
274,0.08456790,3.846952e-01,1.830638e+02,-
275,0.08487654,3.883841e-01,1.774406e+02,-
276,0.08518519,3.922177e-01,1.716031e+02,-
277,0.08549383,3.949245e-01,1.677833e+02,-
278,0.08580247,3.950059e-01,1.685331e+02,-
279,0.08611111,3.918617e-01,1.750598e+02,-
280,0.08641975,3.866427e-01,1.859508e+02,-
281,0.08672840,3.806906e-01,1.992090e+02,-
282,0.08703704,3.748015e-01,2.134945e+02,-
283,0.08734568,3.692061e-01,2.283157e+02,-
284,0.08765432,3.639261e-01,2.435962e+02,-
285,0.08796296,3.586634e-01,2.601650e+02,-
286,0.08827160,3.533349e-01,2.782183e+02,-
287,0.08858025,3.481825e-01,2.970923e+02,-
288,0.08888889,3.919604e-01,1.852259e+02,-
289,0.08919753,3.924757e-01,1.852263e+02,-
290,0.08950617,3.934169e-01,1.844450e+02,-
291,0.08981481,3.945660e-01,1.832954e+02,-
292,0.09012346,3.957300e-01,1.821466e+02,-
293,0.09043210,3.967893e-01,1.812212e+02,-
294,0.09074074,3.976164e-01,1.807377e+02,-
295,0.09104938,3.981783e-01,1.807402e+02,-
296,0.09135802,3.985102e-01,1.811487e+02,-
297,0.09166667,3.986286e-01,1.819217e+02,-
298,0.09197531,3.985907e-01,1.829595e+02,-
299,0.09228395,3.984168e-01,1.842241e+02,-
300,0.09259259,3.981272e-01,1.856897e+02,-
301,0.09290123,3.978136e-01,1.871776e+02,-
302,0.09320988,3.976877e-01,1.882988e+02,-
303,0.09351852,3.980096e-01,1.885724e+02,-
304,0.09382716,3.988808e-01,1.984916e+02,-
305,0.09413580,4.003280e-01,2.238262e+02,-
306,0.09444444,4.019498e-01,2.533293e+02,-
307,0.09475309,4.032001e-01,2.856583e+02,-
308,0.09506173,4.039630e-01,3.203082e+02,-
309,0.09537037,4.046887e-01,3.563228e+02,-
310,0.09567901,4.058469e-01,3.928028e+02,-
311,0.09598765,4.076473e-01,4.286011e+02,-
312,0.09629630,4.101022e-01,4.616413e+02,-
313,0.09660494,4.031542e-01,4.891691e+02,-
314,0.09691358,3.957174e-01,5.107465e+02,-
315,0.09722222,3.836498e-01,5.279669e+02,-
316,0.09753086,3.726697e-01,5.425864e+02,-
317,0.09783951,3.629484e-01,5.554434e+02,-
318,0.09814815,3.547984e-01,5.663381e+02,-
319,0.09845679,3.492738e-01,5.747371e+02,-
320,0.09876543,3.437017e-01,5.795240e+02,-
321,0.09907407,3.348916e-01,5.797881e+02,-
322,0.09938272,3.261069e-01,5.750953e+02,-
323,0.09969136,3.160852e-01,5.664212e+02,-
324,0.10000000,3.054356e-01,5.552135e+02,-
325,0.10030864,2.957052e-01,5.423184e+02,-
326,0.10061728,2.886397e-01,5.281627e+02,-
327,0.10092593,2.845882e-01,5.130239e+02,-
328,0.10123457,2.832366e-01,4.978608e+02,-
329,0.10154321,2.829593e-01,4.832891e+02,-
330,0.10185185,2.827983e-01,4.697492e+02,-
