step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
285,0.08796296,2.892054e-01,1.104847e+02,-
286,0.08827160,2.798148e-01,1.169628e+02,-
287,0.08858025,2.716605e-01,1.244206e+02,-
288,0.08888889,2.645816e-01,1.331677e+02,-
289,0.08919753,2.596286e-01,1.434591e+02,-
290,0.08950617,2.571207e-01,1.557667e+02,-
291,0.08981481,2.561100e-01,1.707609e+02,-
292,0.09012346,2.555437e-01,1.885028e+02,-
293,0.09043210,2.532165e-01,2.079322e+02,-
294,0.09074074,2.490670e-01,2.264252e+02,-
295,0.09104938,2.443875e-01,2.406596e+02,-
296,0.09135802,2.398183e-01,2.483046e+02,-
297,0.09166667,2.350716e-01,2.486775e+02,-
298,0.09197531,2.303233e-01,2.432124e+02,-
299,0.09228395,2.259807e-01,2.345896e+02,-
300,0.09259259,2.221501e-01,2.253714e+02,-
301,0.09290123,2.181622e-01,2.268917e+02,-
302,0.09320988,2.133665e-01,2.483817e+02,-
303,0.09351852,2.083190e-01,2.732034e+02,-
304,0.09382716,3.468762e-01,1.903432e+02,-
305,0.09413580,3.412697e-01,1.791190e+02,-
306,0.09444444,3.355437e-01,1.663406e+02,-
307,0.09475309,3.301769e-01,1.537214e+02,-
308,0.09506173,3.258933e-01,1.426045e+02,-
309,0.09537037,3.232899e-01,1.339504e+02,-
310,0.09567901,3.225541e-01,1.316038e+02,-
311,0.09598765,3.226704e-01,1.333147e+02,-
312,0.09629630,3.225117e-01,1.339256e+02,-
313,0.09660494,3.225517e-01,1.330283e+02,-
314,0.09691358,3.227724e-01,1.325456e+02,-
315,0.09722222,3.222470e-01,1.336408e+02,-
316,0.09753086,3.211757e-01,1.321551e+02,-
317,0.09783951,3.205047e-01,1.340109e+02,-
318,0.09814815,3.194522e-01,1.400196e+02,-
319,0.09845679,3.170208e-01,1.461853e+02,-
320,0.09876543,3.128712e-01,1.540459e+02,-
321,0.09907407,3.092354e-01,1.650972e+02,-
322,0.09938272,3.061392e-01,1.747190e+02,-
323,0.09969136,3.034811e-01,1.820549e+02,-
324,0.10000000,3.010724e-01,1.868527e+02,-
325,0.10030864,2.990079e-01,1.903331e+02,-
326,0.10061728,2.971217e-01,2.152841e+02,-
327,0.10092593,2.955577e-01,2.430174e+02,-
328,0.10123457,2.941035e-01,2.727488e+02,-
329,0.10154321,2.925635e-01,3.005714e+02,-
330,0.10185185,2.907014e-01,3.206671e+02,-
331,0.10216049,2.885917e-01,3.311640e+02,-
332,0.10246914,2.864184e-01,3.299147e+02,-
333,0.10277778,2.843520e-01,3.159431e+02,-
334,0.10308642,2.827221e-01,2.987004e+02,-
335,0.10339506,2.813666e-01,2.912517e+02,-
336,0.10370370,2.803385e-01,2.896998e+02,-
337,0.10401235,2.795719e-01,2.824946e+02,-
338,0.10432099,2.790386e-01,2.719824e+02,-
339,0.10462963,2.772817e-01,2.662647e+02,-
340,0.10493827,2.691155e-01,2.644387e+02,-
341,0.10524691,2.615326e-01,2.648013e+02,-
342,0.10555556,2.551405e-01,2.681810e+02,-
343,0.10586420,2.506594e-01,2.709796e+02,-
344,0.10617284,2.485302e-01,2.728567e+02,-
345,0.10648148,2.485644e-01,2.757230e+02,-
346,0.10679012,2.500150e-01,2.808016e+02,-
347,0.10709877,2.516639e-01,2.863092e+02,-
348,0.10740741,2.522413e-01,2.904056e+02,-
349,0.10771605,2.510981e-01,2.925277e+02,-
350,0.10802469,2.484516e-01,2.924090e+02,-
351,0.10833333,2.449877e-01,2.898555e+02,-
352,0.10864198,2.413738e-01,2.958582e+02,-
353,0.10895062,2.380820e-01,3.169367e+02,-
354,0.10925926,2.353775e-01,3.379008e+02,-
355,0.10956790,2.333484e-01,3.573324e+02,-
356,0.10987654,2.319337e-01,3.746960e+02,-
357,0.11018519,2.310081e-01,3.895266e+02,-
358,0.11049383,2.304372e-01,4.006341e+02,-
359,0.11080247,2.301270e-01,4.062864e+02,-
360,0.11111111,2.300477e-01,4.066473e+02,-
361,0.11141975,2.302075e-01,4.203495e+02,-
362,0.11172840,2.306164e-01,4.524037e+02,-
363,0.11203704,2.312613e-01,4.806484e+02,-
364,0.11234568,2.320977e-01,5.024360e+02,-
365,0.11265432,2.330614e-01,5.185891e+02,-
366,0.11296296,2.340813e-01,5.435852e+02,-
367,0.11327160,2.350910e-01,5.520728e+02,-
368,0.11358025,2.360288e-01,5.351352e+02,-
369,0.11388889,2.368445e-01,5.490064e+02,-
370,0.11419753,2.374976e-01,5.665544e+02,-
371,0.11450617,2.379795e-01,5.848329e+02,-
372,0.11481481,2.382860e-01,6.035564e+02,-
373,0.11512346,2.384189e-01,6.234876e+02,-
374,0.11543210,2.384099e-01,6.435773e+02,-
375,0.11574074,2.349238e-01,6.998638e+02,-
376,0.11604938,2.213858e-01,8.955547e+02,-
377,0.11635802,2.079931e-01,1.158393e+03,-
378,0.11666667,1.974318e-01,1.420638e+03,-
379,0.11697531,1.948728e-01,1.511083e+03,-
380,0.11728395,1.944831e-01,1.560243e+03,-
381,0.11759259,1.908058e-01,1.686900e+03,-
382,0.11790123,1.872879e-01,1.817067e+03,-
383,0.11820988,1.847386e-01,1.921433e+03,-
384,0.11851852,1.830211e-01,1.995741e+03,-
385,0.11882716,1.820848e-01,2.038062e+03,-
386,0.11913580,1.819223e-01,2.046960e+03,-
387,0.11944444,1.826327e-01,2.017722e+03,-
388,0.11975309,1.839832e-01,1.963082e+03,-
389,0.12006173,1.854710e-01,1.906735e+03,-
390,0.12037037,1.863768e-01,1.876343e+03,-
391,0.12067901,1.859862e-01,1.896802e+03,-
392,0.12098765,1.837909e-01,1.990706e+03,-
393,0.12129630,1.799988e-01,2.161993e+03,-
394,0.12160494,1.754257e-01,2.392052e+03,-
395,0.12191358,1.713580e-01,2.626135e+03,-
396,0.12222222,1.688093e-01,2.793603e+03,-
397,0.12253086,1.683012e-01,2.835661e+03,-
398,0.12283951,1.697302e-01,2.744932e+03,-
399,0.12314815,1.717404e-01,2.621642e+03,-
400,0.12345679,1.653924e-01,2.579375e+03,-
401,0.12376543,1.594925e-01,2.771254e+03,-
402,0.12407407,1.549216e-01,3.157244e+03,-
