# x_over_c y_over_c
4.9881711417212315e-03 -6.1539743170789390e-03
6.1558297024311148e-03 -6.7068549455120315e-03
7.4453369226130661e-03 -7.2197997232242225e-03
8.8563746356556394e-03 -7.6898494400670968e-03
1.0388594689117125e-02 -8.1143644194937616e-03
1.2041619030626283e-02 -8.4910387624611700e-03
1.3815039801161721e-02 -8.8179112753192009e-03
1.5708419435684462e-02 -9.0933730192295590e-03
1.7721290771100962e-02 -9.3161714601165367e-03
1.9853157161528467e-02 -9.4854112393796246e-03
2.2103492600834940e-02 -9.6005516260221930e-03
2.4471741852423234e-02 -9.6614007499102577e-03
2.6957320586227351e-02 -9.6681067530375378e-03
2.9559615522887273e-02 -9.6211460304378056e-03
3.2277984585066366e-02 -9.5213087642909144e-03
3.5111757055874271e-02 -9.3696819834050253e-03
3.8060233744356631e-02 -9.1676304052623440e-03
4.1122687158009430e-02 -8.9167753388901694e-03
4.4298361682277354e-02 -8.6189719437235052e-03
4.7586473766990212e-02 -8.2762851521872363e-03
5.0986212119692176e-02 -7.8909645718395101e-03
5.4496737905816051e-02 -7.4654186865463238e-03
5.8117184955653267e-02 -7.0021886753311594e-03
6.1846659978068208e-02 -6.5039221623619387e-03
6.5684242780904345e-02 -5.9733472021625041e-03
6.9628986498028178e-02 -5.4132467907912684e-03
7.3679917822953855e-02 -4.8264341766982863e-03
7.7836037248992462e-02 -4.2157292245839223e-03
8.2096319315864863e-02 -3.5839360622193107e-03
8.6459712862719085e-02 -2.9338222142661820e-03
9.0925141287488298e-02 -2.2680993991035080e-03
9.5491502812526274e-02 -1.5894061350034171e-03
1.0015767075645471e-01 -9.0029227119081678e-04
1.0492249381215479e-01 -2.0320552786878463e-04
1.0978479633083510e-01 4.9951990230613142e-04
1.1474337861210537e-01 1.2056726700661049e-03
1.1979701719998453e-01 1.9131715118893551e-03
1.2494446518477026e-01 2.6200704572270713e-03
1.3018445251069516e-01 3.3245620664153494e-03
1.3551568628929422e-01 4.0249787904680081e-03
1.4093685111840554e-01 4.7197925669026607e-03
1.4644660940672621e-01 5.4076127859901905e-03
1.5204360170384285e-01 6.0871827790915309e-03
1.5772644703565564e-01 6.7573749948668903e-03
1.6349374324511329e-01 7.4171850399777717e-03
1.6934406733817403e-01 8.0657247683764473e-03
1.7527597583490817e-01 8.7022146073743624e-03
1.8128800512565513e-01 9.3259753094410702e-03
1.8737867183214740e-01 9.9364193162047917e-03
1.9354647317351170e-01 1.0533041915553541e-02
1.9978988733705794e-01 1.1115412364272307e-02
2.0610737385376343e-01 1.1683165137538604e-02
2.1249737397836072e-01 1.2235991453122175e-02
2.1895831107393471e-01 1.2773631202611749e-02
2.2548859100093410e-01 1.3295865404769770e-02
2.3208660251050173e-01 1.3802509277563312e-02
2.3875071764202555e-01 1.4293406005919412e-02
2.4547929212481429e-01 1.4768421262196536e-02
2.5227066578379620e-01 1.5227438516141893e-02
2.5912316294914228e-01 1.5670355151104574e-02
2.6603509286971333e-01 1.6097079383866300e-02
2.7300475013022657e-01 1.6507527966990128e-02
2.8003041507204240e-01 1.6901624635400271e-02
2.8711035421746367e-01 1.7279299243287319e-02
2.9424282069744556e-01 1.7640487523647320e-02
3.0142605468260975e-01 1.7985131391026844e-02
3.0865828381745508e-01 1.8313179698539649e-02
3.1593772365766093e-01 1.8624589353074771e-02
3.2326257811037140e-01 1.8919326687913122e-02
3.3063103987735426e-01 1.9197368989747984e-02
3.3804129090092527e-01 1.9458706077349099e-02
3.4549150281252627e-01 1.9703341831761208e-02
3.5297983738384797e-01 1.9931295582879600e-02
3.6050444698038536e-01 2.0142603264349225e-02
3.6806347501731351e-01 2.0337318257800149e-02
3.7565505641757263e-01 2.0515511858238512e-02
3.8327731807204724e-01 2.0677273304701149e-02
3.9092837930172863e-01 2.0822709333774933e-02
3.9860635232174374e-01 2.0951943227976038e-02
4.0630934270713764e-01 2.1065113345963966e-02
4.1403544986029522e-01 2.1162371136808304e-02
4.2178276747988452e-01 2.1243878655705185e-02
4.2954938403120857e-01 2.1309805613334381e-02
4.3733338321784787e-01 2.1360326005145647e-02
4.4513284445447732e-01 2.1395614379969521e-02
4.5294584334074284e-01 2.1415841819187389e-02
4.6077045213607748e-01 2.1421171708023677e-02
4.6860474023534326e-01 2.1411755389120792e-02
4.7644677464517865e-01 2.1387727795245288e-02
4.8429462046093580e-01 2.1349203162606821e-02
4.9214634134408969e-01 2.1296270928748806e-02
4.9999999999999994e-01 2.1228991919229008e-02
5.0785365865591026e-01 2.1147394925334913e-02
5.1570537953906415e-01 2.1051473770896070e-02
5.2355322535482129e-01 2.0941184959937006e-02
5.3139525976465674e-01 2.0816445988563942e-02
5.3922954786392241e-01 2.0677134394253529e-02
5.4705415665925705e-01 2.0523087603790541e-02
5.5486715554552257e-01 2.0354103627707093e-02
5.6266661678215213e-01 2.0169942634452348e-02
5.7045061596879132e-01 1.9970329421940464e-02
5.7821723252011537e-01 1.9754956787873666e-02
5.8596455013970472e-01 1.9523489783620260e-02
5.9369065729286230e-01 1.9275570819752633e-02
6.0139364767825620e-01 1.9010825574930484e-02
6.0907162069827125e-01 1.8728869643957934e-02
6.1672268192795265e-01 1.8429315845846464e-02
6.2434494358242731e-01 1.8111782098864777e-02
6.3193652498268649e-01 1.7775899757112683e-02
6.3949555301961458e-01 1.7421322292358609e-02
6.4702016261615203e-01 1.7047734195937740e-02
6.5450849718747373e-01 1.6654859968597332e-02
6.6195870909907462e-01 1.6242473061434348e-02
6.6936896012264568e-01 1.5810404628603756e-02
6.7673742188962849e-01 1.5358551952339665e-02
6.8406227634233896e-01 1.4886886403048208e-02
6.9134171618254481e-01 1.4395460801776987e-02
6.9857394531739025e-01 1.3884416059175951e-02
7.0575717930255433e-01 1.3353986974036598e-02
7.1288964578253633e-01 1.2804507085485504e-02
7.1996958492795760e-01 1.2236412485738625e-02
7.2699524986977337e-01 1.1650244514782072e-02
7.3396490713028661e-01 1.1046651274195967e-02
7.4087683705085750e-01 1.0426387914315804e-02
7.4772933421620380e-01 9.7903156667485843e-03
7.5452070787518566e-01 9.1393996126318475e-03
7.6124928235797440e-01 8.4747051956347384e-03
7.6791339748949827e-01 7.7973935072440884e-03
7.7451140899906579e-01 7.1087153900438165e-03
7.8104168892606540e-01 6.4100044221837224e-03
7.8750262602163934e-01 5.7026688627556561e-03
7.9389262614623646e-01 4.9881826530774800e-03
8.0021011266294195e-01 4.2681003425899706e-03
8.0645352682648808e-01 3.5672324435837774e-03
8.1262132816785260e-01 2.9062890959136514e-03
8.1871199487434487e-01 2.2849864168530062e-03
8.2472402416509172e-01 1.7029920556896928e-03
8.3065593266182591e-01 1.1599125822860899e-03
8.3650625675488655e-01 6.5528277011366737e-04
8.4227355296434436e-01 1.8855692073977207e-04
8.4795639829615710e-01 -2.4089767468444406e-04
8.5355339059327373e-01 -6.3380509315489469e-04
8.5906314888159430e-01 -9.9098296381891493e-04
8.6448431371070567e-01 -1.3133425340014701e-03
8.6981554748930479e-01 -1.6018867184281436e-03
8.7505553481522980e-01 -1.8577062739735944e-03
8.8020298280001552e-01 -2.0819742782728634e-03
8.8525662138789452e-01 -2.2759391206846231e-03
8.9021520366916485e-01 -2.4409162378472189e-03
8.9507750618784521e-01 -2.5782788430589142e-03
8.9984232924354524e-01 -2.6894479087684678e-03
9.0450849718747373e-01 -2.7758816645905467e-03
9.0907485871251170e-01 -2.8390648696531781e-03
9.1354028713728086e-01 -2.8804981081031831e-03
9.1790368068413519e-01 -2.9016873407569470e-03
9.2216396275100754e-01 -2.9041339248443883e-03
9.2632008217704609e-01 -2.8893252883263922e-03
9.3037101350197182e-01 -2.8587264162358520e-03
9.3431575721909554e-01 -2.8137722748325013e-03
9.3815334002193174e-01 -2.7558612660447228e-03
9.4188281504434679e-01 -2.6863497706808492e-03
9.4550326209418389e-01 -2.6065478051976610e-03
9.4901378788030777e-01 -2.5177157843407549e-03
9.5241352623300968e-01 -2.4210623515805727e-03
9.5570163831772259e-01 -2.3177432117300585e-03
9.5887731284199051e-01 -2.2088608761077063e-03
9.6193976625564337e-01 -2.0954652106423199e-03
9.6488824294412567e-01 -1.9785546618053393e-03
9.6772201541493363e-01 -1.8590780244620436e-03
9.7044038447711278e-01 -1.7379366097656493e-03
9.7304267941377265e-01 -1.6159866700424259e-03
9.7552825814757682e-01 -1.4940419410541337e-03
9.7789650739916500e-01 -1.3728761697661541e-03
9.8014684283847142e-01 -1.2532255073641235e-03
