i,pi_up,pj_lo,y_mid,nia,nib,nic,nid,node_a,node_b,xa,ya,za,xb,yb,zb,n_up_x,n_up_y,n_up_z,n_lo_x,n_lo_y,n_lo_z,Da_col_a,Da_col_b,Da_a_x,Da_a_y,Da_a_z,Da_b_x,Da_b_y,Da_b_z,Da_a_dot_Vinf,Da_b_dot_Vinf,n_wake_dot_jump,gamma_up,gamma_lo,dGamma
31,5952,5761,-0.2955924999999999,2,1,2,1,4705,4801,0.7778749999999999,-0.280035,1.3809394137023142e-7,0.8089899999999999,-0.3111499999999999,1.3809394137023142e-7,0.10566679538136019,0.10566679538136038,0.9887714886199275,0.10585351879454341,0.1058535187945436,-0.9887315435028998,32,31,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985618,7.8070064693526895,9.752098516564473,-1.9450920472117836
32,6144,5953,-0.2644775,2,1,2,1,4609,4705,0.7467599999999998,-0.24891999999999997,1.3809394137023142e-7,0.7778749999999999,-0.280035,1.3809394137023142e-7,0.10566679538136843,0.1056667953813688,0.9887714886199257,0.1058535187945514,0.10585351879455178,-0.9887315435028979,33,32,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985578,8.384048871519214,10.316080136707997,-1.9320312651887832
33,6336,6145,-0.23336249999999997,2,1,2,1,4513,4609,0.7156449999999999,-0.21780499999999997,1.3809394137023142e-7,0.7467599999999998,-0.24891999999999997,1.3809394137023142e-7,0.10566679538136844,0.10566679538136807,0.9887714886199258,0.10585351879455948,0.1058535187945591,-0.9887315435028963,34,33,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985578,8.962111744797,10.88001227059961,-1.9179005258026098
34,6528,6337,-0.20224749999999997,2,1,2,1,4417,4513,0.6845299999999999,-0.18669,1.3809394137023142e-7,0.7156449999999999,-0.21780499999999997,1.3809394137023142e-7,0.10566679538136833,0.10566679538136843,0.9887714886199257,0.10585351879455938,0.10585351879455948,-0.9887315435028963,35,34,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985576,9.540548165177578,11.443278230700601,-1.9027300655230235
35,6720,6529,-0.1711325,2,1,2,1,4321,4417,0.6534149999999999,-0.155575,1.3809394137023142e-7,0.6845299999999999,-0.18669,1.3809394137023142e-7,0.10566679538136038,0.10566679538136038,0.9887714886199275,0.10585351879455948,0.10585351879455948,-0.9887315435028963,36,35,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985605,10.11825765447331,12.004851013914674,-1.886593359441365
36,6912,6721,-0.1400175,2,1,2,1,4225,4321,0.6222999999999999,-0.12446,1.3809394137023142e-7,0.6534149999999999,-0.155575,1.3809394137023142e-7,0.10566679538136839,0.10566679538136843,0.9887714886199257,0.10585351879455136,0.10585351879455142,-0.988731543502898,37,36,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985583,10.693302231947264,12.562950045854132,-1.8696478139068677
37,7104,6913,-0.10890250000000001,2,1,2,1,4129,4225,0.591185,-0.09334500000000001,1.3809394137023147e-7,0.6222999999999999,-0.12446,1.3809394137023142e-7,0.10566679538136843,0.10566679538136808,0.9887714886199258,0.10585351879455943,0.1058535187945591,-0.9887315435028963,38,37,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985578,11.262095427841144,13.114310558113644,-1.8522151302724996
38,7296,7105,-0.07778750000000001,2,1,2,1,4033,4129,0.56007,-0.06223,1.3809394137023142e-7,0.591185,-0.09334500000000001,1.3809394137023147e-7,0.1056667953813604,0.10566679538136038,0.9887714886199275,0.10585351879455952,0.10585351879455951,-0.9887315435028963,39,38,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985605,11.817477988314291,13.652434389778975,-1.8349564014646838
39,7488,7297,-0.0466725,2,1,2,1,3937,4033,0.5289549999999998,-0.031115,1.3809394137023142e-7,0.56007,-0.06223,1.3809394137023142e-7,0.10566679538136818,0.10566679538136857,0.9887714886199258,0.10585351879455138,0.10585351879455178,-0.9887315435028979,40,39,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.966951607698558,12.343256660690992,14.162572657429221,-1.8193159967382293
40,7680,7489,-0.0155575,2,1,2,1,1,3937,0.49783999999999995,0.0,1.3809394137023142e-7,0.5289549999999998,-0.031115,1.3809394137023142e-7,0.10566679538136417,0.10566679538136381,0.9887714886199269,0.10585351879455947,0.1058535187945591,-0.9887315435028963,41,40,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985594,12.792783848028341,14.60174155409562,-1.8089577060672788
